time_version,code,area
201805,110000,北京市
201805,110101,北京市东城区
201805,110102,北京市西城区
201805,110105,北京市朝阳区
201805,110106,北京市丰台区
201805,110107,北京市石景山区
201805,110108,北京市海淀区
201805,110109,北京市门头沟区
201805,110111,北京市房山区
201805,110112,北京市通州区
201805,110113,北京市顺义区
201805,110114,北京市昌平区
201805,110115,北京市大兴区
201805,110116,北京市怀柔区
201805,110117,北京市平谷区
201805,110118,北京市密云区
201805,110119,北京市延庆区
201805,120000,天津市
201805,120101,天津市和平区
201805,120102,天津市河东区
201805,120103,天津市河西区
201805,120104,天津市南开区
201805,120105,天津市河北区
201805,120106,天津市红桥区
201805,120110,天津市东丽区
201805,120111,天津市西青区
201805,120112,天津市津南区
201805,120113,天津市北辰区
201805,120114,天津市武清区
201805,120115,天津市宝坻区
201805,120116,天津市滨海新区
201805,120117,天津市宁河区
201805,120118,天津市静海区
201805,120119,天津市蓟州区
201805,130000,河北省
201805,130100,河北省石家庄市
201805,130102,河北省石家庄市长安区
201805,130104,河北省石家庄市桥西区
201805,130105,河北省石家庄市新华区
201805,130107,河北省石家庄市井陉矿区
201805,130108,河北省石家庄市裕华区
201805,130109,河北省石家庄市藁城区
201805,130110,河北省石家庄市鹿泉区
201805,130111,河北省石家庄市栾城区
201805,130121,河北省石家庄市井陉县
201805,130123,河北省石家庄市正定县
201805,130125,河北省石家庄市行唐县
201805,130126,河北省石家庄市灵寿县
201805,130127,河北省石家庄市高邑县
201805,130128,河北省石家庄市深泽县
201805,130129,河北省石家庄市赞皇县
201805,130130,河北省石家庄市无极县
201805,130131,河北省石家庄市平山县
201805,130132,河北省石家庄市元氏县
201805,130133,河北省石家庄市赵县
201805,130181,河北省石家庄市辛集市
201805,130183,河北省石家庄市晋州市
201805,130184,河北省石家庄市新乐市
201805,130200,河北省唐山市
201805,130202,河北省唐山市路南区
201805,130203,河北省唐山市路北区
201805,130204,河北省唐山市古冶区
201805,130205,河北省唐山市开平区
201805,130207,河北省唐山市丰南区
201805,130208,河北省唐山市丰润区
201805,130209,河北省唐山市曹妃甸区
201805,130223,河北省唐山市滦县
201805,130224,河北省唐山市滦南县
201805,130225,河北省唐山市乐亭县
201805,130227,河北省唐山市迁西县
201805,130229,河北省唐山市玉田县
201805,130281,河北省唐山市遵化市
201805,130283,河北省唐山市迁安市
201805,130300,河北省秦皇岛市
201805,130302,河北省秦皇岛市海港区
201805,130303,河北省秦皇岛市山海关区
201805,130304,河北省秦皇岛市北戴河区
201805,130306,河北省秦皇岛市抚宁区
201805,130321,河北省秦皇岛市青龙满族自治县
201805,130322,河北省秦皇岛市昌黎县
201805,130324,河北省秦皇岛市卢龙县
201805,130400,河北省邯郸市
201805,130402,河北省邯郸市邯山区
201805,130403,河北省邯郸市丛台区
201805,130404,河北省邯郸市复兴区
201805,130406,河北省邯郸市峰峰矿区
201805,130407,河北省邯郸市肥乡区
201805,130408,河北省邯郸市永年区
201805,130423,河北省邯郸市临漳县
201805,130424,河北省邯郸市成安县
201805,130425,河北省邯郸市大名县
201805,130426,河北省邯郸市涉县
201805,130427,河北省邯郸市磁县
201805,130430,河北省邯郸市邱县
201805,130431,河北省邯郸市鸡泽县
201805,130432,河北省邯郸市广平县
201805,130433,河北省邯郸市馆陶县
201805,130434,河北省邯郸市魏县
201805,130435,河北省邯郸市曲周县
201805,130481,河北省邯郸市武安市
201805,130500,河北省邢台市
201805,130502,河北省邢台市桥东区
201805,130503,河北省邢台市桥西区
201805,130521,河北省邢台市邢台县
201805,130522,河北省邢台市临城县
201805,130523,河北省邢台市内丘县
201805,130524,河北省邢台市柏乡县
201805,130525,河北省邢台市隆尧县
201805,130526,河北省邢台市任县
201805,130527,河北省邢台市南和县
201805,130528,河北省邢台市宁晋县
201805,130529,河北省邢台市巨鹿县
201805,130530,河北省邢台市新河县
201805,130531,河北省邢台市广宗县
201805,130532,河北省邢台市平乡县
201805,130533,河北省邢台市威县
201805,130534,河北省邢台市清河县
201805,130535,河北省邢台市临西县
201805,130581,河北省邢台市南宫市
201805,130582,河北省邢台市沙河市
201805,130600,河北省保定市
201805,130602,河北省保定市竞秀区
201805,130606,河北省保定市莲池区
201805,130607,河北省保定市满城区
201805,130608,河北省保定市清苑区
201805,130609,河北省保定市徐水区
201805,130623,河北省保定市涞水县
201805,130624,河北省保定市阜平县
201805,130626,河北省保定市定兴县
201805,130627,河北省保定市唐县
201805,130628,河北省保定市高阳县
201805,130629,河北省保定市容城县
201805,130630,河北省保定市涞源县
201805,130631,河北省保定市望都县
201805,130632,河北省保定市安新县
201805,130633,河北省保定市易县
201805,130634,河北省保定市曲阳县
201805,130635,河北省保定市蠡县
201805,130636,河北省保定市顺平县
201805,130637,河北省保定市博野县
201805,130638,河北省保定市雄县
201805,130681,河北省保定市涿州市
201805,130682,河北省保定市定州市
201805,130683,河北省保定市安国市
201805,130684,河北省保定市高碑店市
201805,130700,河北省张家口市
201805,130702,河北省张家口市桥东区
201805,130703,河北省张家口市桥西区
201805,130705,河北省张家口市宣化区
201805,130706,河北省张家口市下花园区
201805,130708,河北省张家口市万全区
201805,130709,河北省张家口市崇礼区
201805,130722,河北省张家口市张北县
201805,130723,河北省张家口市康保县
201805,130724,河北省张家口市沽源县
201805,130725,河北省张家口市尚义县
201805,130726,河北省张家口市蔚县
201805,130727,河北省张家口市阳原县
201805,130728,河北省张家口市怀安县
201805,130730,河北省张家口市怀来县
201805,130731,河北省张家口市涿鹿县
201805,130732,河北省张家口市赤城县
201805,130800,河北省承德市
201805,130802,河北省承德市双桥区
201805,130803,河北省承德市双滦区
201805,130804,河北省承德市鹰手营子矿区
201805,130821,河北省承德市承德县
